2026-04-01_11:56:41:896 Com Port Connected : True
2026-04-01_11:56:41:898 <-FW] ESP-ROM:esp32s3-20210327
2026-04-01_11:56:41:901 <-FW] load:0x3fce3808,len:0x4bc
2026-04-01_11:56:41:904 <-FW] load:0x403c9700,len:0xbd8
2026-04-01_11:56:41:905 <-FW] load:0x403cc700,len:0x2a0c
2026-04-01_11:58:28:968 <-FW] 107071 $1800%
2026-04-01_11:58:29:478 <-FW] 107581 $1800%
2026-04-01_11:58:29:988 <-FW] 108091 $1800%
2026-04-01_11:58:30:497 <-FW] 108601 $1800%
2026-04-01_11:58:31:008 <-FW] 109111 $1800%
2026-04-01_11:58:31:518 <-FW] 109621 $1800%
2026-04-01_11:58:32:028 <-FW] 110131 $1800%
2026-04-01_11:58:32:538 <-FW] 110641 $1800%
2026-04-01_11:58:33:047 <-FW] 111151 $1800%
2026-04-01_11:58:33:558 <-FW] 111661 $1800%
2026-04-01_11:58:34:068 <-FW] 112171 $1800%
2026-04-01_11:58:34:578 <-FW] 112681 $1800%
2026-04-01_11:58:35:088 <-FW] 113191 $1800%
2026-04-01_11:58:35:598 <-FW] 113701 $1800%
2026-04-01_11:58:36:108 <-FW] 114211 $1800%
2026-04-01_11:58:36:618 <-FW] 114721 $1800%
2026-04-01_11:58:37:128 <-FW] 115231 $1800%
2026-04-01_11:58:37:638 <-FW] 115741 $1800%
2026-04-01_11:58:38:148 <-FW] 116251 $1800%
2026-04-01_11:58:38:658 <-FW] 116761 $1800%
2026-04-01_11:58:39:168 <-FW] 117271 $1800%
2026-04-01_11:58:39:678 <-FW] 117781 $1800%
2026-04-01_11:58:40:187 <-FW] 118291 $1800%
2026-04-01_11:58:40:698 <-FW] 118801 $1800%
2026-04-01_11:58:41:207 <-FW] 119311 $1800%
2026-04-01_11:58:41:718 <-FW] 119821 $1800%
2026-04-01_11:58:42:227 <-FW] 120331 $1800%
2026-04-01_11:58:42:738 <-FW] 120841 $1800%
2026-04-01_11:58:43:247 <-FW] 121351 $1800%
